YYYY,FIPS_Combined,DrugReports
2012,21001,1
2013,21001,2
2015,21001,1
2017,21001,2
2016,21003,1
2012,21005,15
2013,21005,18
2014,21005,20
2015,21005,12
2016,21005,16
2017,21005,13
2015,21007,1
2017,21007,1
2011,21009,3
2013,21009,2
2015,21009,7
2016,21009,1
2017,21009,3
2012,21011,3
2014,21011,5
2015,21011,4
2016,21011,7
2017,21011,12
2010,21013,2
2014,21013,1
2015,21013,3
2016,21013,6
2017,21013,2
2010,21015,47
2011,21015,55
2012,21015,160
2013,21015,229
2014,21015,168
2015,21015,227
2016,21015,164
2017,21015,114
2011,21017,1
2012,21017,5
2013,21017,7
2014,21017,7
2015,21017,4
2016,21017,9
2017,21017,8
2010,21019,5
2011,21019,40
2012,21019,60
2013,21019,75
2014,21019,95
2015,21019,51
2016,21019,54
2017,21019,52
2011,21021,1
2013,21021,26
2014,21021,45
2015,21021,33
2016,21021,58
2017,21021,47
2010,21023,1
2011,21023,3
2012,21023,21
2013,21023,10
2014,21023,13
2015,21023,12
2016,21023,15
2010,21025,4
2012,21025,1
2013,21025,1
2016,21025,3
2017,21025,2
2014,21027,1
2016,21027,1
2017,21027,4
2011,21029,4
2012,21029,34
2013,21029,87
2014,21029,48
2015,21029,52
2016,21029,36
2017,21029,36
2014,21031,1
2015,21031,1
2016,21031,1
2017,21033,2
2014,21035,2
2016,21035,5
2017,21035,2
2010,21037,86
2011,21037,156
2012,21037,318
2013,21037,528
2014,21037,500
2015,21037,464
2016,21037,383
2017,21037,247
2010,21041,8
2011,21041,23
2012,21041,62
2013,21041,74
2014,21041,54
2015,21041,26
2016,21041,17
2017,21041,14
2010,21043,1
2012,21043,10
2013,21043,24
2014,21043,51
2015,21043,13
2016,21043,44
2017,21043,32
2011,21045,2
2016,21045,2
2011,21047,2
2012,21047,1
2013,21047,2
2014,21047,7
2015,21047,2
2016,21047,2
2017,21047,3
2011,21049,6
2012,21049,31
2013,21049,50
2014,21049,42
2015,21049,35
2016,21049,30
2017,21049,30
2013,21051,2
2014,21051,2
2016,21051,1
2017,21051,1
2013,21057,1
2015,21057,3
2016,21057,7
2017,21057,1
2012,21059,3
2013,21059,8
2014,21059,15
2015,21059,11
2016,21059,10
2017,21059,2
2010,21063,1
2014,21063,1
2015,21063,3
2017,21063,1
2013,21065,4
2014,21065,3
2016,21065,16
2017,21065,14
2010,21067,32
2011,21067,23
2012,21067,138
2013,21067,466
2014,21067,321
2015,21067,433
2016,21067,351
2017,21067,375
2012,21069,9
2013,21069,3
2015,21069,3
2016,21069,7
2017,21069,7
2010,21071,1
2011,21071,3
