YYYY,FIPS_Combined,DrugReports
2010,21001,7
2011,21001,17
2012,21001,19
2013,21001,15
2014,21001,45
2015,21001,14
2016,21001,19
2017,21001,14
2010,21003,30
2011,21003,12
2012,21003,85
2013,21003,22
2014,21003,27
2015,21003,12
2016,21003,22
2017,21003,17
2010,21005,31
2011,21005,38
2012,21005,6
2013,21005,7
2014,21005,4
2015,21005,4
2016,21005,5
2017,21005,7
2010,21007,1
2011,21007,1
2012,21007,1
2013,21007,2
2016,21007,1
2010,21009,59
2011,21009,93
2012,21009,69
2013,21009,56
2014,21009,47
2015,21009,34
2016,21009,34
2017,21009,42
2010,21011,52
2011,21011,65
2012,21011,50
2013,21011,37
2014,21011,30
2015,21011,70
2016,21011,10
2017,21011,20
2010,21013,256
2011,21013,121
2012,21013,163
2013,21013,137
2014,21013,455
2015,21013,317
2016,21013,193
2017,21013,157
2010,21015,95
2011,21015,78
2012,21015,64
2013,21015,57
2014,21015,45
2015,21015,126
2016,21015,101
2017,21015,154
2010,21017,45
2011,21017,25
2012,21017,45
2013,21017,45
2014,21017,20
2015,21017,12
2016,21017,16
2017,21017,15
2010,21019,293
2011,21019,310
2012,21019,182
2013,21019,149
2014,21019,141
2015,21019,149
2016,21019,69
2017,21019,105
2010,21021,60
2011,21021,38
2012,21021,42
2013,21021,36
2014,21021,32
2015,21021,19
2016,21021,58
2017,21021,75
2010,21023,9
2011,21023,21
2012,21023,15
2013,21023,9
2014,21023,11
2015,21023,4
2016,21023,9
2010,21025,96
2011,21025,14
2012,21025,57
2013,21025,70
2014,21025,15
2015,21025,29
2016,21025,20
2017,21025,7
2010,21027,12
2011,21027,4
2012,21027,9
2013,21027,6
2014,21027,10
2015,21027,1
2016,21027,2
2017,21027,3
2010,21029,125
2011,21029,137
2012,21029,86
2013,21029,52
2014,21029,44
2015,21029,36
2016,21029,26
2017,21029,43
2010,21031,5
2011,21031,1
2012,21031,6
2013,21031,3
2014,21031,6
2015,21031,10
2016,21031,17
2017,21031,4
2010,21033,9
2011,21033,6
2012,21033,37
2013,21033,17
2014,21033,15
2015,21033,15
2016,21033,11
2017,21033,6
2010,21035,3
2011,21035,24
2012,21035,17
2013,21035,16
2014,21035,11
2015,21035,18
2016,21035,29
2017,21035,13
